atom_type,atom_value
domain,1001paixnidia.fr
domain,1percent.fr
domain,20linutes.fr
domain,20mlinutes.fr
domain,237online.fr
domain,247blinds.fr
domain,2roueselectrique.fr
domain,3mfrances.fr
domain,6range.fr
domain,75esession.fr
domain,7frenchweb.fr
domain,aaam.fr
domain,aac-lyon.fr
domain,aalocine.fr
domain,abchina.fr
domain,abrittel.fr
domain,abrutel.fr
domain,abshop.fr
domain,absolutewrite.fr
domain,abyssmedia.fr
domain,aca-languedoc.fr
domain,ac-crerteil.fr
domain,acessoires-electromenager.fr
domain,acmen.fr
domain,acsentia.fr
domain,ac-strasboourg.fr
domain,activebeat.fr
domain,aculo.fr
domain,ac-versdailles.fr
domain,addthis.fr
domain,adebooks.fr
domain,adef-residences.fr
domain,adquantum.fr
domain,africancasting.fr
domain,agelocer.fr
domain,agla.fr
domain,aide-pac-national.fr
domain,aktiv-mit-ms.fr
domain,alexyu.fr
domain,aliecpress.fr
domain,aliexress.fr
domain,aljamaa.fr
domain,allkpop.fr
domain,allocnie.fr
domain,allogarages.fr
domain,allomine.fr
domain,almaria.fr
domain,alphardgolf.fr
domain,alphlauren.fr
domain,alzy.fr
domain,amayaresorts.fr
domain,americankitchen.fr
domain,ancree.fr
domain,angers-radioloagie.fr
domain,antoinettepoisson.fr
domain,apel3.fr
domain,appale.fr
domain,applez.fr
domain,appraw.fr
domain,apsu.fr
domain,arbrever.fr
domain,archeives-ouvertes.fr
domain,archi-facile.fr
domain,area52.fr
domain,aresweb.fr
domain,argenta.fr
domain,arteradio.fr
domain,artissanat.fr
domain,asemblee-nationale.fr
domain,asentia.fr
domain,ashleyfires.fr
domain,askubal.fr
domain,assistcom.fr
domain,assodigitale.fr
domain,ast-grouope.fr
domain,athenea.fr
domain,atlanticon.fr
domain,atlanticos.fr
domain,atlasformrn.fr
domain,atlauncher.fr
domain,augi.fr
domain,auirbnb.fr
domain,auto-entrereneur.fr
domain,automedik.fr
domain,automobile-magasine.fr
domain,autonewsinfo.fr
domain,avilis.fr
domain,avndrealouer.fr
domain,avosstart.fr
domain,avtec.fr
domain,babouche-maroc.fr
domain,bac-reunion.fr
domain,bactif.fr
domain,badsender.fr
domain,bagaboo-bags.fr
domain,bagagescabine.fr
domain,bannerbuzz.fr
domain,bannersnack.fr
domain,baxtel.fr
domain,bayyinah.fr
domain,bbcode.fr
domain,bdsm-fantaisie.fr
domain,beauten.fr
domain,beautylicieuse.fr
domain,beautytemple.fr
domain,beboncoin.fr
domain,belambre.fr
domain,benchmarkemail.fr
domain,bergeresdefrance.fr
domain,besacon.fr
domain,bestblackhatforum.fr
domain,bestwesterne.fr
domain,bevilla.fr
domain,biaritz.fr
domain,biaugerme.fr
domain,bioware.fr
domain,bitsoin.fr
domain,biucosmetics.fr
domain,blablacam.fr
domain,bluepartner.fr
domain,boardgamearena.fr
domain,bobgear.fr
domain,bodyfitness-epernon.fr
domain,bodyhousse.fr
